time_tag,short_flux,long_flux
2026-03-04 03:15:00+00:00,2.4506488216502476e-07,3.780475253734039e-06
2026-03-04 03:16:00+00:00,2.3108763969048596e-07,3.7177173908276018e-06
2026-03-04 03:17:00+00:00,2.181664910949621e-07,3.660924448922742e-06
2026-03-04 03:18:00+00:00,2.0822129442876758e-07,3.5983291581942467e-06
2026-03-04 03:19:00+00:00,1.9889141356088658e-07,3.5319844755576923e-06
2026-03-04 03:20:00+00:00,1.8624000119871198e-07,3.4565400710562244e-06
2026-03-04 03:21:00+00:00,1.7490357606675389e-07,3.3818514566519298e-06
2026-03-04 03:22:00+00:00,1.6282812964618643e-07,3.2927468964771833e-06
2026-03-04 03:23:00+00:00,1.524756356729995e-07,3.1966330880095484e-06
2026-03-04 03:24:00+00:00,1.4212713494998752e-07,3.0983446777099743e-06
2026-03-04 03:25:00+00:00,1.333062300545862e-07,2.9963575798319653e-06
2026-03-04 03:26:00+00:00,1.2238398028330266e-07,2.8887882308481494e-06
2026-03-04 03:27:00+00:00,1.112036045469722e-07,2.7886417228728533e-06
2026-03-04 03:28:00+00:00,1.0237474867835772e-07,2.684171704459004e-06
2026-03-04 03:29:00+00:00,9.416004331797012e-08,2.5893461952364305e-06
2026-03-04 03:30:00+00:00,8.715427668448683e-08,2.5039421416295227e-06
2026-03-04 03:31:00+00:00,8.124857231450733e-08,2.4189030227717012e-06
2026-03-04 03:32:00+00:00,7.442267957458171e-08,2.341830168006709e-06
2026-03-04 03:33:00+00:00,6.979809086260502e-08,2.2677311335428385e-06
2026-03-04 03:34:00+00:00,6.500108895579615e-08,2.2018155050318455e-06
2026-03-04 03:35:00+00:00,5.938657920978585e-08,2.1397643195086857e-06
2026-03-04 03:36:00+00:00,5.8496027577348286e-08,2.0795228010683786e-06
2026-03-04 03:37:00+00:00,5.751174469992293e-08,2.024631612584926e-06
2026-03-04 03:38:00+00:00,5.264944746841138e-08,1.9758442704187473e-06
2026-03-04 03:39:00+00:00,4.97166432467111e-08,1.9236445041315164e-06
2026-03-04 03:40:00+00:00,4.617076854174229e-08,1.8705370621319162e-06
2026-03-04 03:41:00+00:00,4.428644473364329e-08,1.8248757669425686e-06
2026-03-04 03:42:00+00:00,3.946697191281601e-08,1.7792534663385595e-06
2026-03-04 03:43:00+00:00,3.837667961192892e-08,1.7378366692355485e-06
2026-03-04 03:44:00+00:00,3.654641744788023e-08,1.6932004882619367e-06
2026-03-04 03:45:00+00:00,3.458625386087988e-08,1.6497569959028624e-06
2026-03-04 03:46:00+00:00,3.472997889275575e-08,1.6105619806694449e-06
2026-03-04 03:47:00+00:00,3.213125410184148e-08,1.5706007161497837e-06
2026-03-04 03:48:00+00:00,2.828311984615084e-08,1.533034833300917e-06
2026-03-04 03:49:00+00:00,2.76421729950016e-08,1.4913324548615492e-06
2026-03-04 03:50:00+00:00,2.3654797232097735e-08,1.4520104514303966e-06
2026-03-04 03:51:00+00:00,2.338347826480458e-08,1.4116991451373906e-06
2026-03-04 03:52:00+00:00,2.14537276832516e-08,1.3751642882198212e-06
2026-03-04 03:53:00+00:00,2.0645495979465522e-08,1.3426176792563638e-06
2026-03-04 03:54:00+00:00,1.83080270943492e-08,1.3126280009601032e-06
2026-03-04 03:55:00+00:00,1.690483308891544e-08,1.2815586387660005e-06
2026-03-04 03:56:00+00:00,1.7124502704746192e-08,1.2520035852503497e-06
2026-03-04 03:57:00+00:00,1.515403447172048e-08,1.224788888976036e-06
2026-03-04 03:58:00+00:00,1.4552794525002355e-08,1.1955355603276985e-06
2026-03-04 03:59:00+00:00,1.363232904338929e-08,1.168052108369011e-06
2026-03-04 04:00:00+00:00,1.4426625227770273e-08,1.1446288681327133e-06
2026-03-04 04:01:00+00:00,1.4038045392794629e-08,1.1214442565687932e-06
2026-03-04 04:02:00+00:00,1.0978904896319364e-08,1.095104153137072e-06
2026-03-04 04:03:00+00:00,9.849151716423421e-09,1.0742445510913967e-06
2026-03-04 04:04:00+00:00,1.0443186759800938e-08,1.056507244356908e-06
2026-03-04 04:05:00+00:00,9.496618602611306e-09,1.0371134067099774e-06
2026-03-04 04:06:00+00:00,1.083186074168907e-08,1.0185066230405937e-06
2026-03-04 04:07:00+00:00,8.262274420189897e-09,1.0002888757298933e-06
2026-03-04 04:08:00+00:00,8.176421317784843e-09,9.82291680884373e-07
2026-03-04 04:09:00+00:00,8.417017305362151e-09,9.62415697358665e-07
2026-03-04 04:10:00+00:00,7.354290953998088e-09,9.461967920287861e-07
2026-03-04 04:11:00+00:00,6.522152595778152e-09,9.315985494140477e-07
2026-03-04 04:12:00+00:00,5.953552761894798e-09,9.179095741274068e-07
2026-03-04 04:13:00+00:00,6.669643060064345e-09,9.064275445780368e-07
2026-03-04 04:14:00+00:00,6.535700425303048e-09,8.931262982514454e-07
2026-03-04 04:15:00+00:00,5.1023509861636285e-09,8.870605938682274e-07
2026-03-04 04:16:00+00:00,4.979120227233125e-09,8.750479878472106e-07
2026-03-04 04:17:00+00:00,5.2263273708774705e-09,8.631626542410231e-07
2026-03-04 04:18:00+00:00,3.4384679548082886e-09,8.518488812114811e-07
2026-03-04 04:19:00+00:00,3.6111020840223773e-09,8.396402222388133e-07
2026-03-04 04:20:00+00:00,3.7856424661697474e-09,8.281559189526888e-07
2026-03-04 04:21:00+00:00,2.1452672971378206e-09,8.173450396498083e-07
2026-03-04 04:22:00+00:00,4.013061438712384e-09,8.073408253039815e-07
2026-03-04 04:23:00+00:00,4.54336124278143e-09,7.980701752785535e-07
2026-03-04 04:24:00+00:00,3.3271150279290396e-09,7.875281085034658e-07
2026-03-04 04:25:00+00:00,3.4039633334259634e-09,7.758655442557938e-07
2026-03-04 04:26:00+00:00,4.1289922592113726e-09,7.720904591224098e-07
2026-03-04 04:27:00+00:00,3.2206797229150652e-09,7.617242658852774e-07
2026-03-04 04:28:00+00:00,2.1743409295282845e-09,7.533320740549243e-07
2026-03-04 04:29:00+00:00,1.373158253770157e-09,7.442655487466254e-07
2026-03-04 04:30:00+00:00,3.14198467243898e-09,7.352973625529557e-07
2026-03-04 04:31:00+00:00,2.5607185261122822e-09,7.266731358868128e-07
2026-03-04 04:32:00+00:00,2.3641177904210053e-09,7.196650244623015e-07
2026-03-04 04:33:00+00:00,2.917155406123584e-09,7.117365612430149e-07
2026-03-04 04:34:00+00:00,2.345153626848173e-09,7.080292903083318e-07
2026-03-04 04:35:00+00:00,3.470398191041113e-09,7.063590032885259e-07
2026-03-04 04:36:00+00:00,2.856624492508786e-09,6.982472200434131e-07
2026-03-04 04:37:00+00:00,2.217819483618655e-09,6.949949806767108e-07
2026-03-04 04:38:00+00:00,9.999999717180685e-10,6.868527862025076e-07
2026-03-04 04:39:00+00:00,1.441065378138262e-09,6.834471832917188e-07
2026-03-04 04:40:00+00:00,1.0861659349714614e-09,6.777487442377605e-07
2026-03-04 04:41:00+00:00,9.999999717180685e-10,6.711545097459748e-07
2026-03-04 04:42:00+00:00,9.999999717180685e-10,6.645984171882446e-07
2026-03-04 04:43:00+00:00,1.1742244954149328e-09,6.59022646232188e-07
2026-03-04 04:44:00+00:00,9.999999717180685e-10,6.523524120893853e-07
2026-03-04 04:45:00+00:00,9.999999717180685e-10,6.465464252869424e-07
2026-03-04 04:46:00+00:00,1.3552492461599286e-09,6.452872298723378e-07
2026-03-04 04:47:00+00:00,1.5540071451880522e-09,6.371524250425864e-07
2026-03-04 04:48:00+00:00,1.920193559712402e-09,6.339581659631222e-07
2026-03-04 04:49:00+00:00,1.219614187419893e-09,6.326099537545815e-07
2026-03-04 04:50:00+00:00,2.178844438205374e-09,6.267296726036875e-07
2026-03-04 04:51:00+00:00,1.1150036449691925e-09,6.218230055310414e-07
2026-03-04 04:52:00+00:00,9.999999717180685e-10,6.141647190816002e-07
2026-03-04 04:53:00+00:00,9.999999717180685e-10,6.090945134928916e-07
2026-03-04 04:54:00+00:00,9.999999717180685e-10,6.057525183678081e-07
2026-03-04 04:55:00+00:00,9.999999717180685e-10,6.022264074090344e-07
2026-03-04 04:56:00+00:00,9.999999717180685e-10,5.986872224639228e-07
